code,product_name,brands,categories_en,countries_en,nutriscore_grade,nutriscore_score,nova_group,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,carbohydrates_100g,ingredients_text,additives_n,labels_en,sat_fat_ratio,protein_density,sugar_density,has_additives,n_ingredients,has_added_sugar,has_palm_oil,claims_healthy,health_claim,actually_unhealthy,is_DE,grade_upper,is_health_marketed
4088700024621,Grass fed angus beef gourmet sausage,Aldi,"Meats and their products,Meats,Prepared meats,Sausages",Australia,e,22.0,4.0,335.74615314577,29.6428571428571,12.0238095238095,1.19047619047619,0.0,9.52380952380952,1.69047619047619,0.597619047619048,8.69047619047619,"australian grass fed angus beef (82%), water, roasted garlic (2%), potato starch, salt, parsley, mineral salt (451), yeast extract, preservative (223), dried herbs and spices (coriander, nutmeg, ginger), natural hog casing, contains sulphites, may contain soy and milk, keep refrigerated, store below 4 °c, specially selected® is a registered trademark of aldi stores, aldi guarantees that our exclusive brand products are developed to our stringent quality specifications,  if you are not entirely satisfied with this product, please return it to your nearest aldi store for a full refund or replacement, aldi stores, 1 sargents road minchinbury nsw 2770 www,aldi,com,au made in australia from at least 94% australian ingredients sleeve tray film",2.0,"No gluten,Australian made",0.4056224899598392,0.0283661016949153,0.0035457627118644,1,26,0,0,0,,1,1,E,Other
4088700026298,Mango Real Fruit Yogurt,Brooklea,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Australia,c,4.0,4.0,83.6520076481838,1.875,1.1875,12.1875,0.112,4.125,0.021875,0.00875,12.375,"Milk, Skim Milk, Milk Solids, Mango (7%), Sugar, Water, Gelatine, Thickener (1442), Natural Flavours, Natural Colours (160a, 160c), Acidity Regulators (331, 330), Live Yogurt Cultures (Milk) (Streptococcus thermophilus, Lactobacillus bulgaricus). CONTAINS MILK. Keep refrigerated. Store below 4 °C.",6.0,,0.6333333333333333,0.0493114285714284,0.1456928571428567,1,15,1,0,0,,0,0,C,Other
4088700029374,Oyster Sauce,Asia specialties,"Condiments,Sauces,Oyster sauces",Australia,e,30.0,4.0,156.0,0.4,0.4,34.0,0.0,0.4,14.0,5.6,38.0,"water, sugar, salt, thickener (1422), natural colour (150c), oyster extract [öyster, maltodextrin], flavour, maltodextrin, acidity regulator (260), contains 0,4% oyster, contains fish, ay contain sesame, peanuts, soy, crustacea and gluten cereals,",3.0,No preservatives,1.0,0.0025641025641025,0.2179487179487179,1,18,1,0,0,,1,1,E,Other
4088700034064,Boneless Chicken Kyiv Creamy Garlic,"Ready, Set... Cook!","Meats and their products,Meat preparations,Chicken and its products,Chicken preparations,Breaded products,Chicken kievs",Australia,c,4.0,,181.14285714286,8.9142857142857,2.6285714285714,3.2,0.0,13.8,1.015,0.406,10.5,,0.0,,0.2948717948717921,0.0761829652996833,0.0176656151419555,0,1,0,0,0,,0,0,C,Other
4088700034101,Crumbed Chicken Tenders Buffalo Style,"Ready, Set... Cook!",Crumbed-chicken,Australia,b,1.0,4.0,168.499043977055,7.3,0.8,2.3,0.0,15.7,1.0825,0.433,9.4,"RSPCA Approved Chicken Breast Tenderloins (62%), Buffalo Style Crumb (15%) [Wheat Flour, Wheat Gluten, Salt, Sugar, Egg Powder, Spices, Spice Extracts, Acidity Regulator (262), Yeast, Yeast Extract, Thickeners (1404, 412), Dehydrated Vegetable, Natural Colours (100, 160c)], Water, Vegetable Oil, Salt, Acidity Regulator (451). CONTAINS GLUTEN, WHEAT, EGG. MAY CONTAIN MILK, SOY, SULPHITES. Although every effort has been made to remove bones, some bones may remain.",6.0,Australian made,0.1095890410958904,0.0931756028368796,0.0136499290780142,1,25,1,0,0,,0,0,B,Other
4088700038505,Natural Australian Spring Water,Northbrook,"Beverages and beverages preparations,Beverages,Waters,Spring waters",Australia,a,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100% Natural Spring Water.,0.0,,,,,0,1,0,0,0,,0,0,A,Other
4088700038956,Organic Kombucha,,"Beverages and beverages preparations,Beverages,Fermented foods,Fermented drinks,Tea-based beverages,Kombuchas",Australia,b,1.0,,9.0,0.1,0.1,0.4,0.303030303030303,0.1,0.0125,0.005,2.2,,0.0,,1.0,0.0111111111111111,0.0444444444444444,0,1,0,0,0,,0,0,B,Other
4088700042410,Fettuccine,Remano,"Plant-based foods and beverages,Plant-based foods,Pastas,Dry pastas","Australia,France",a,0.0,1.0,155.0,1.0,0.208333333333333,1.41666666666667,1.79166666666667,5.0,0.025,0.01,32.625,Durum Wheat Semolina (100%),0.0,,0.208333333333333,0.032258064516129,0.0091397849462365,0,1,0,0,0,,0,0,A,Other
4088700042700,Multigrain Brown Rice Crackers,Damora,"Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers (Appetizers),Rice crackers",Australia,c,3.0,4.0,410.0,6.0,1.0,1.0,2.5,9.0,0.265,0.106,78.0,"Organic Brown Rice (44% Organic White Rice (29%), Potato Starch, Inulin, Vegetable Oil [Includes Antioxidant (319)], Soy Flour, Maltodextrin, Black Sesame Seeds, Millet (1.5%), Sea Salt, Sugar, White Sesame Seeds, Kelp Extract. CONTAINS SESAME, SOY. MAY CONTAIN MILK.",1.0,,0.1666666666666666,0.0219512195121951,0.0024390243902439,1,13,1,0,0,,0,0,C,Other
4088700044179,Spaghetti,Remano,"Plant-based foods and beverages,Plant-based foods,Pastas,Spaghetti",Australia,a,-1.0,,177.142857142857,2.4,0.5,3.7,4.3,11.5,0.06,0.024,74.4,,0.0,,0.2083333333333333,0.0649193548387097,0.0208870967741935,0,1,0,0,0,,0,0,A,Other
